filename,format,tool,n_components,source_path
2cb516ba2d905f0b557c21059c9f53b33894d3d0,CycloneDX-JSON,cyclonedx-gomod,82,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\2cb516ba2d905f0b557c21059c9f53b33894d3d0
202a8d3cd0195d10f8f226ece710828ddbc41881,CycloneDX-JSON,cyclonedx-gomod,5,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\202a8d3cd0195d10f8f226ece710828ddbc41881
1b0632210717ec2ae0499c4adac29f9a82a70b3b,CycloneDX-JSON,cyclonedx-php-composer,53,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\1b0632210717ec2ae0499c4adac29f9a82a70b3b
b042759efb09040438a53c711c3cabc31f098798,CycloneDX-JSON,Node.js module,1945,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\b\b042759efb09040438a53c711c3cabc31f098798
803c8c0f4318bf5cc8682a3910d0b871c211b704,CycloneDX-JSON,${project.name},93,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\8\803c8c0f4318bf5cc8682a3910d0b871c211b704
23a075a176ffc3dc532f1c7640f76f96acbdd0ae,SPDX-JSON,cyclonedx:cyclonedx,9,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\23a075a176ffc3dc532f1c7640f76f96acbdd0ae
db89a8d84cbb09e1f9841d190c151647ee1bd013,SPDX-JSON,syft,902,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\db89a8d84cbb09e1f9841d190c151647ee1bd013
b79e2bca7b4a6f8d03d8ae23ac0cb91a7aa49c25,CycloneDX-JSON,Github Extractor,12,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\b\b79e2bca7b4a6f8d03d8ae23ac0cb91a7aa49c25
97b50e6df38ae7664627d91d21140ae17503189e,CycloneDX-JSON,syft,421,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\9\97b50e6df38ae7664627d91d21140ae17503189e
30f5c18168c03f5099f34d147c98766bb02f5a07,CycloneDX-JSON,cdxgen,23,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\3\30f5c18168c03f5099f34d147c98766bb02f5a07
8651fbf3786eee78a557d61fcc6dc1e202b46aca,CycloneDX-JSON,syft,418,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\8\8651fbf3786eee78a557d61fcc6dc1e202b46aca
0454070ff6fbc8faa4a0a777b102ce783fe82bc3,CycloneDX-XML,unknown,99,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\0\0454070ff6fbc8faa4a0a777b102ce783fe82bc3
8e9e22e5e986522647451654b5c84ad9cdc50cb6,CycloneDX-JSON,Gemnasium,325,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\8\8e9e22e5e986522647451654b5c84ad9cdc50cb6
d692dac2a0dcbf7036899b220bde999bbe6e7490,CycloneDX-JSON,cdxgen,7,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\d692dac2a0dcbf7036899b220bde999bbe6e7490
4f0483bfc8392c0d45a879e7e878d9e242d17f2f,SPDX-JSON,cyclonedx:cyclonedx,8,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\4\4f0483bfc8392c0d45a879e7e878d9e242d17f2f
1c3222d294a67aa961b2c33db291db3575a825ae,CycloneDX-JSON,Node.js module,31,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\1c3222d294a67aa961b2c33db291db3575a825ae
1e8f5257f73e80f9f272c935bb7623a79994f37b,CycloneDX-JSON,syft,59,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\1e8f5257f73e80f9f272c935bb7623a79994f37b
653cf553163893f143fec590c6ddd7861eba81b7,CycloneDX-JSON,Gemnasium,14,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\653cf553163893f143fec590c6ddd7861eba81b7
0ecfd946856124e270b837c8100168d73835f0f1,CycloneDX-JSON,Node.js module,140,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\0\0ecfd946856124e270b837c8100168d73835f0f1
82bb16ec5376d228e9bff07101f27576b1bf20db,CycloneDX-JSON,cdxgen,24,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\8\82bb16ec5376d228e9bff07101f27576b1bf20db
c2f91dbd78bfe425389b3e3c65f67756e4d919b5,CycloneDX-JSON,CycloneDX Maven plugin makeAggregateBom,80,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\c2f91dbd78bfe425389b3e3c65f67756e4d919b5
4773260ae8f24ff9174343a2765bfa31d1c85fa8,CycloneDX-JSON,Github Extractor,11,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\4\4773260ae8f24ff9174343a2765bfa31d1c85fa8
fee264f010d109438e1b315f0893e2101c19f093,CycloneDX-JSON,syft,426,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\f\fee264f010d109438e1b315f0893e2101c19f093
67b9371c3f615d2a3efa3e72a9b87840dc8cb4a4,CycloneDX-JSON,cdxgen,134,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\67b9371c3f615d2a3efa3e72a9b87840dc8cb4a4
