filename,format,tool,n_components,B1_result,B1_score,B1_detail,B2_result,B2_score,B2_detail,B3_result,B3_score,B3_detail,B4_result,B4_score,B4_detail
500d9d9164257b08009cab2607275f4ddc954b9d,CycloneDX-JSON,syft,1898,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 18 unknown (of 18 checked)",PARTIAL,0.2,3/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
5012606dde1ef2d9ae55a2b18139e2315fd884ea,CycloneDX-JSON,cdxgen,12,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 10 unknown (of 12 checked)",PASS,1.0,12/12 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
501b32c8ffc408b48388e857a5cae13932262ff4,CycloneDX-JSON,cdxgen,38,SKIP,0.0,No vulnerabilities declared — A8 failed,PARTIAL,0.2,"1 supported, 4 EOL, 25 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.4,"10/25 license IDs are valid SPDX; invalid examples: Python Software Foundation License, zlib, BSD Licence"
5022593985f59b8b412d84402dbcad1e0ce91d63,CycloneDX-JSON,cyclonedx-php-composer,18,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 9 unknown (of 11 checked)",PARTIAL,0.533,8/15 PURLs resolved successfully,PARTIAL,0.625,"10/16 license IDs are valid SPDX; invalid examples: BSD, MIT License, Python MIT-like"
50239a85e067dad3897bb41f16eca4ddc6479203,CycloneDX-JSON,Node.js module,1048,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
5026bb27a5e1a247994bb6eb0e38dcba46fa1a7b,CycloneDX-JSON,cdxgen,18,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 3 EOL, 15 unknown (of 18 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
5027d577230d1baadc063576d958a13e5228bbb6,SPDX-JSON,oss review toolkit ,7,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 7 unknown (of 7 checked)",PASS,1.0,7/7 PURLs resolved successfully,PARTIAL,0.625,"5/8 license IDs are valid SPDX; invalid examples: NOASSERTION, LicenseRef-scancode-asmus, LicenseRef-scancode-srgb"
50328809bbbfc89797045beef6f64a3c7d6ce65d,CycloneDX-JSON,cdxgen,15,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 13 unknown (of 15 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
50368aa672cd832ea1fd1d5189652e2a4c11c0c4,CycloneDX-JSON,cyclonedx-php-composer,8,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/8 PURLs resolved successfully,PARTIAL,0.875,7/8 license IDs are valid SPDX; invalid examples: BSD
504803b0a5d293b11a0b64703286e287e491f7c3,CycloneDX-JSON,cyclonedx-php-composer,57,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PARTIAL,0.967,29/30 license IDs are valid SPDX; invalid examples: BSD
504c960dbea127c0250cdbb140038b5e67b09ec4,CycloneDX-JSON,syft,76,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 4 unknown (of 6 checked)",PARTIAL,0.067,1/15 PURLs resolved successfully,PARTIAL,0.933,"28/30 license IDs are valid SPDX; invalid examples: Apache 2.0, Apache License Version 2.0"
50505184f930c221321bc9f448eb70822fa8e67d,CycloneDX-JSON,cyclonedx-library,837,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
506516a4f3176ec8d8b169c07f5a1098a36347cb,CycloneDX-JSON,Node.js module,1922,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
508a8061f5886495f45fea53cb3c1209a3cdf8bb,SPDX-JSON,syft,261,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 16 unknown (of 16 checked)",PARTIAL,0.667,10/15 PURLs resolved successfully,PASS,1.0,6/6 license IDs are valid SPDX
50ac325f1cfcace95686f78ae4db51e257a1ac4d,CycloneDX-JSON,cdxgen,16,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 14 unknown (of 16 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
50c00d76f725098abaafa68bc2b7aa1832046249,CycloneDX-JSON,webpack-plugin,202,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
50c5e1b90f78aa8e32a2cdb57314c269dcce445d,CycloneDX-JSON,cdxgen,6,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 4 unknown (of 6 checked)",PASS,1.0,6/6 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
